Date,Operator,Flight phase,Crash location,Total fatalities,Crash cause,Crash year,U Year,Total Death,,P Year,P Count,Operator,Op fatalities,
1/3/1960,Indian Airlines,Flight,Taksing Arunachal Pradesh,9,Human factor,1960,1960,2033,,1900,40,United States Navy - USN,989,0.989
1/3/1960,Eastern Airlines,Landing (descent or approach),Philadelphia Pennsylvania,0,Technical failure,1960,1961,1959,,1901,40,United States Army,216,0.216
1/4/1960,United States Air Force - USAF,Flight,Benghazi Benghazi (<U+0628><U+0646><U+063A><U+0627><U+0632><U+064A>),10,Unknown,1960,1962,2474,,1902,40,Spanish Air Force - Ejército del Aire,183,0.183
1/4/1960,Transportes Aéreos Salvador,Takeoff (climb),Dianopólis Tocantins,0,Other causes,1960,1963,1838,,1903,40,Soviet Air Force - Voyenno-vozdushnye sily CCCP,"1,231",1.231
1/5/1960,British European Airways - BEA,Landing (descent or approach),Luqa All Malta,0,Technical failure,1960,1964,1803,,1904,40,Royal Thai Air Force - Kong Thap Akat Thai,153,0.153
1/6/1960,National Airlines,Flight,Bolivia North Carolina,34,"Terrorism act, Hijacking, Sabotage",1960,1965,2272,,1905,40,Royal Air Force - RAF,301,0.301
1/6/1960,United States Navy - USN,Landing (descent or approach),Byrd Station All Antarctica,0,Unknown,1960,1966,2222,,1906,40,Private Mexican,102,0.102
1/7/1960,British European Airways - BEA,Landing (descent or approach),London-Heathrow London Metropolis,0,Human factor,1960,1967,2351,,1907,40,Private German,97,0.097
1/9/1960,United States Navy - USN,Flight,Dana Point California,4,Technical failure,1960,1968,2435,,1908,40,Private American,295,0.295
1/12/1960,Philippine Airlines - PAL,Landing (descent or approach),Plaridel Bulacan,0,Unknown,1960,1969,2748,,1909,40,Merpati Nusantara Airlines - MNA,348,0.348
1/13/1960,Utah Construction %26 Mining Company,Flight,Minersville Utah,6,Human factor,1960,1970,2219,,1910,40,Italian Air Force - Aeronautica Militare Italiana,146,0.146
1/15/1960,Royal New Zealand Air Force - RNZAF,Landing (descent or approach),Beardmore Glacier All Antarctica,0,Human factor,1960,1971,2283,,1911,40,Indian Airlines,766,0.766
1/15/1960,Aeroflot - Russian International Airlines,Flight,Didino Sverdlovsk oblast,1,Technical failure,1960,1972,3354,,1912,40,Indian Air Force - Bharatiya Vayu Sena,633,0.633
1/15/1960,French Air Force - Armée de l'Air,Flight,Ghardaïa Ghardaïa,6,Weather,1960,1973,2985,,1913,40,French Air Force - Armée de l'Air,359,0.359
1/18/1960,Capital Airlines,Flight,Holdcroft Virginia,50,Weather,1960,1974,2798,,1914,40,Ethiopian Airlines,495,0.495
1/19/1960,Scandinavian Airlines System - SAS,Landing (descent or approach),Ankara-Esenboga Central Anatolia Region (Iç Anadolu Bölgesi),42,Human factor,1960,1975,1930,,1915,40,Brazilian Air Force - Força Aérea Brasileira,402,0.402
1/20/1960,Italian Air Force - Aeronautica Militare Italiana,Takeoff (climb),Brindisi Apulia,5,Unknown,1960,1976,2429,,1916,40,Argentinian Air Force - Fuerza Aérea Argentina,294,0.294
1/21/1960,Avianca,Landing (descent or approach),Montego Bay Saint James,37,Human factor,1960,1977,2535,,1917,40,Air America,244,0.244
1/22/1960,Air Survey of India,Flight,Somarampet Telangana,3,Technical failure,1960,1978,2220,,1918,40,,,
1/26/1960,Transportes Aéreos de Timor,Flight,Bathurst Island Northern Territory,9,Human factor,1960,1979,2565,,1919,40,,,
1/26/1960,Cruzeiro do Sul,Taxiing,Rio de Janeiro-Galeão Rio de Janeiro,0,Unknown,1960,1980,2343,,1920,40,,,
1/29/1960,Pacific Western Airlines - PWA,Landing (descent or approach),Port Hardy British Columbia,0,Technical failure,1960,1981,1591,,1921,3771,,,
2/1/1960,United States Air Force - USAF,Landing (descent or approach),Ramey AFB (Aguadilla) All Puerto Rico,7,Human factor,1960,1982,2066,,1922,3771,,,
2/3/1960,United States Air Force - USAF,Takeoff (climb),Walker AFB New Mexico,8,Weather,1960,1983,2045,,1923,3771,,,
2/5/1960,Lloyd Aéreo Boliviano - LAB Airlines,Takeoff (climb),Cochabamba Cochabamba,59,Technical failure,1960,1984,1327,,1924,3771,,,
2/7/1960,Cuban Air Force - Fuerza Aérea del Ejército de Cuba,Flight,Marathon Florida,2,Unknown,1960,1985,3023,,1925,3771,,,
2/10/1960,Flinders Island Airways,Flight,Loch Victoria,2,Technical failure,1960,1986,1787,,1926,3771,,,
2/11/1960,United States Navy - USN,Flight,Whidbey Island NAS (Ault Field) Washington,9,Other causes,1960,1987,2159,,1927,3771,,,
2/13/1960,Associated Air Transport,Landing (descent or approach),McGuire AFB (Fort Dix) New Jersey,0,Technical failure,1960,1988,2392,,1928,3771,,,
2/15/1960,Royal Air Force - RAF,Taxiing,Gütersloh North Rhine-Westphalia,0,Technical failure,1960,1989,2625,,1929,3771,,,
2/15/1960,Lineas Aéreas de Nicaragua - LANICA,NA,Nicaragua All Nicaragua,0,Unknown,1960,1990,1413,,1930,3771,,,
2/16/1960,Aircraft Service,Flight,Glenbervie Northland Regional Council,0,Unknown,1960,1991,2023,,1931,3771,,,
2/17/1960,Champion Paper %26 Fiber Company,Flight,Madeira Ohio,3,Unknown,1960,1992,2314,,1932,3771,,,
2/17/1960,United States Navy - USN,Landing (descent or approach),Mt Hòn Cháy Th<U+1EEB>a Thiên–Hu<U+1EBF> Province,3,Unknown,1960,1993,1782,,1933,3771,,,
2/18/1960,Private New Zealand,Flight,Rotorua Bay of Plenty Regional Council,0,Unknown,1960,1994,2000,,1934,3771,,,
2/19/1960,Hunting Aerosurveys,Landing (descent or approach),Lahore-Walton Punjab (<U+067E><U+0646><U+062C><U+0627><U+0628>),2,Unknown,1960,1995,1848,,1935,3771,,,
2/19/1960,Aeroflot - Russian International Airlines,Takeoff (climb),Russia All Russia,0,Weather,1960,1996,2856,,1936,3771,,,
2/20/1960,Aerolineas Argentinas,Landing (descent or approach),Buenos Aires-Ezeiza-Ministro Pistarini Buenos Aires City,0,Human factor,1960,1997,1797,,1937,3771,,,
2/20/1960,United States Navy - USN,Landing (descent or approach),Keflavik Southern Peninsula (Suðurnes),0,Human factor,1960,1998,1756,,1938,3771,,,
2/20/1960,Spanish Air Force - Ejército del Aire,Flight,Ciudad Real Castile-La Mancha,8,Unknown,1960,1999,1178,,1939,3771,,,
2/22/1960,Alaska Airlines,Landing (descent or approach),Elmendorf-Richardson AFB (JBER) Alaska,0,Human factor,1960,2000,1633,,1940,3771,,,
2/25/1960,United States Navy - USN,Landing (descent or approach),Rio de Janeiro Rio de Janeiro,35,Human factor,1960,2001,1549,,1941,5050,,,
2/25/1960,Real Aerovias,Landing (descent or approach),Rio de Janeiro Rio de Janeiro,26,Human factor,1960,2002,1388,,1942,5050,,,
2/25/1960,Portuguese Air Force - Força Aerea Portuguesa,Landing (descent or approach),Bucelas Estremadura - Lisbon District,2,Unknown,1960,2003,1260,,1943,5050,,,
2/25/1960,Cuban Air Force - Fuerza Aérea del Ejército de Cuba,Takeoff (climb),Havana La Habana,4,Unknown,1960,2004,795,,1944,5050,,,
2/26/1960,Aeroflot - Russian International Airlines,Landing (descent or approach),Lviv Lviv Oblast,32,Weather,1960,2005,1478,,1945,5050,,,
2/26/1960,Air Brousse,Landing (descent or approach),Dakar Dakar Region,0,Unknown,1960,2006,1322,,1946,5050,,,
2/26/1960,Alitalia - Linee Aeree Italiane,Takeoff (climb),Shannon Munster,34,Technical failure,1960,2007,1008,,1947,5050,,,
2/29/1960,Trans World Airlines - TWA,Takeoff (climb),Chicago-Midway Illinois,0,Technical failure,1960,2008,916,,1948,5050,,,
3/1/1960,Royal Air Force - RAF,Landing (descent or approach),Gan AFB (Addu Atoll) South Province,0,Human factor,1960,2009,1120,,1949,5050,,,
3/5/1960,United States Air Force - USAF,Flight,Botricello Calabria,0,Technical failure,1960,2010,1153,,1950,5050,,,
3/5/1960,Don Everall Aviation,Takeoff (climb),Birmingham West Midlands,0,Technical failure,1960,2011,850,,1951,5050,,,
3/8/1960,United States Air Force - USAF,Landing (descent or approach),Carswell AFB (Fort Worth) Texas,0,Human factor,1960,2012,807,,1952,5050,,,
3/8/1960,United States Navy - USN,Flight,Jérez del Marquesado Andalusia,0,Unknown,1960,2013,465,,1953,5050,,,
3/8/1960,Skyways of London,Landing (descent or approach),London-Heathrow London Metropolis,0,Technical failure,1960,2014,1352,,1954,5050,,,
3/9/1960,Royal Air Force - RAF,Flight,Paloh Johor,0,Technical failure,1960,2015,938,,1955,5050,,,
3/10/1960,Scottish Aviation,Takeoff (climb),Jorhat Assam,2,Human factor,1960,2016,647,,1956,5050,,,
3/15/1960,German Air Force - Deutsche Luftwaffe,Flight,Mt Argentera Piedmont,6,Human factor,1960,2017,404,,1957,5050,,,
3/15/1960,Agencia Interamericana de Aviación - AIDA Colombia,Flight,El Refugio Meta,6,Unknown,1960,2018,1039,,1958,5050,,,
3/16/1960,All Nippon Airways,Takeoff (climb),Nagoya-Komaki Chubu,5,Human factor,1960,2019,588,,1959,5050,,,
3/16/1960,United States Air Force - USAF,Flight,Amatrice Lazio,4,Unknown,1960,2020,480,,1960,5050,,,
3/17/1960,Northwest Airlines,Flight,Tell City Indiana,63,Technical failure,1960,2021,414,,1961,6854,,,
3/17/1960,Bush Church Aid Society,Landing (descent or approach),Ceduna South Australia,0,Technical failure,1960,2022,224,,1962,6854,,,
3/19/1960,SAM Colombia - Sociedad Aeronáutica de Medellín,Landing (descent or approach),Planeta Rica Córdoba,25,Human factor,1960,,,,1963,6854,,,
3/20/1960,Republic of China Air Force,Landing (descent or approach),Gunsan North Jeolla (<U+C804><U+B77C><U+BD81><U+B3C4>),14,Unknown,1960,,,,1964,6854,,,
3/20/1960,Faucett,Flight,Chimbote Ancash,4,Unknown,1960,,,,1965,6854,,,
3/25/1960,United States Air Force - USAF,NA,Wiesbaden-Erbenheim AFB Hesse,0,Unknown,1960,,,,1966,6854,,,
3/25/1960,Wheeler Airlines,Landing (descent or approach),Pelly Bay Nunavut,0,Human factor,1960,,,,1967,6854,,,
3/26/1960,Ontario Central Airlines,Landing (descent or approach),Red Lake Ontario,0,Weather,1960,,,,1968,6854,,,
3/27/1960,Líneas Aéreas de Cuyo,Flight,Azul Buenos Aires province,0,Unknown,1960,,,,1969,6854,,,
3/30/1960,United States Air Force - USAF,Flight,Atlantic Ocean All World,2,Unknown,1960,,,,1970,6854,,,
3/30/1960,Czech Air Force - Ceské Vojenské Letectvo,Takeoff (climb),Kromeríž Zlín Region (Zlínský kraj),7,Human factor,1960,,,,1971,6854,,,
4/1/1960,United States Air Force - USAF,Takeoff (climb),Fairchild AFB (Spokane) Washington,8,Technical failure,1960,,,,1972,6854,,,
4/5/1960,Lineas Aéreas de Nicaragua - LANICA,Takeoff (climb),Siuna Región Autónoma del Atlántico Norte,2,Technical failure,1960,,,,1973,6854,,,
4/6/1960,Servicio Especializado de Carga Aérea - SECA,Flight,San Juan San Juan,0,Unknown,1960,,,,1974,6854,,,
4/11/1960,Italian Air Force - Aeronautica Militare Italiana,Takeoff (climb),Latina-Enrico Comani AFB Lazio,0,Unknown,1960,,,,1975,6854,,,
4/12/1960,Cruzeiro do Sul,Takeoff (climb),Pelotas Rio Grande do Sul,10,Human factor,1960,,,,1976,6854,,,
4/12/1960,Brain %26 Brown Airfreighters,Landing (descent or approach),Melbourne-Moorabbin Victoria,0,Technical failure,1960,,,,1977,6854,,,
4/12/1960,English Electric Company,Takeoff (climb),Warton AFB Lancashire,0,Human factor,1960,,,,1978,6854,,,
4/14/1960,Expreso Aéreo Interamericano,Takeoff (climb),Miami-Intl Florida,0,Unknown,1960,,,,1979,6854,,,
4/14/1960,Royal Thai Air Force - Kong Thap Akat Thai,Takeoff (climb),Taipei-Songshan Taipei City (<U+81FA><U+5317><U+5E02>),18,Unknown,1960,,,,1980,6854,,,
4/15/1960,United States Air Force - USAF,Takeoff (climb),Lincoln Nebraska,0,Technical failure,1960,,,,1981,152,,,
4/15/1960,United States Air Force - USAF,Flight,Marburg Hesse,0,Unknown,1960,,,,1982,152,,,
4/18/1960,United States Air Force - USAF,Takeoff (climb),Stephenville Newfoundland & Labrador,9,Unknown,1960,,,,1983,152,,,
4/19/1960,Lloyd Aéreo Colombiano - LACSA,Landing (descent or approach),Bogotá-El Dorado Bogotá Capital District,37,Human factor,1960,,,,1984,152,,,
4/19/1960,Royal Air Force - RAF,Flight,Kota Tinggi Johor,0,Technical failure,1960,,,,1985,152,,,
4/22/1960,Sobelair,Landing (descent or approach),Bunia Orientale,35,Human factor,1960,,,,1986,152,,,
4/27/1960,Aeroflot - Russian International Airlines,Landing (descent or approach),Sverdlovsk Sverdlovsk oblast,1,Human factor,1960,,,,1987,152,,,
4/28/1960,Linea Aeropostal Venezolana - LAV,Landing (descent or approach),Calabozo Guárico,13,"Terrorism act, Hijacking, Sabotage",1960,,,,1988,152,,,
4/29/1960,Royal Air Force - RAF,Takeoff (climb),Upavon Wiltshire,0,Unknown,1960,,,,1989,152,,,
5/1/1960,Private Australian,Flight,Home Hill Queensland,0,Unknown,1960,,,,1990,152,,,
5/3/1960,Navegação Aérea Brasileira - NAB,Landing (descent or approach),Ramey AFB (Aguadilla) All Puerto Rico,5,Human factor,1960,,,,1991,152,,,
5/3/1960,Argentinian Air Force - Fuerza Aérea Argentina,Takeoff (climb),Mendoza Mendoza,0,Unknown,1960,,,,1992,152,,,
5/5/1960,Aeroflot - Russian International Airlines,Flight,Enken Khabarovsk Krai,5,Weather,1960,,,,1993,152,,,
5/5/1960,Swiss Dhaulagiri Expedition,Takeoff (climb),Dambusch Pass Gandaki,0,Technical failure,1960,,,,1994,152,,,
5/10/1960,German Navy - Deutsche Marine,Flight,Krusendorf Schleswig-Holstein,0,Technical failure,1960,,,,1995,152,,,
5/15/1960,Balair - Switzerland,Flight,Tora Tonga South Darfur (<U+062C><U+0646><U+0648><U+0628> <U+062F><U+0627><U+0631><U+0641><U+0648><U+0631>),12,Human factor,1960,,,,1996,152,,,
5/18/1960,Transamerican Air Transport,Flight,El Sosneado Mendoza,9,Weather,1960,,,,1997,152,,,
5/19/1960,Linea Expressa Bolivar Compania Aérea - LEBCA,Landing (descent or approach),David Chiriquí,0,Unknown,1960,,,,1998,152,,,
5/21/1960,Boliviana de Aviación,NA,La Paz-El Alto La Paz,0,Unknown,1960,,,,1999,152,,,
5/23/1960,Delta Airlines,Takeoff (climb),Atlanta-William Berry Hartsfield Georgia,4,Unknown,1960,,,,2000,152,,,
5/23/1960,Indonesian Air Force - TNI-AU Tentara Nasional Indonesia - Angkatan Udara,Flight,Jakarta City District of Jakarta,4,Unknown,1960,,,,2001,81,,,
5/25/1960,Spantax,Flight,Atlantic Ocean All World,0,Technical failure,1960,,,,2002,81,,,
5/27/1960,Air Liban,Takeoff (climb),Tehran-Mehrabad Tehran City District,0,Unknown,1960,,,,2003,81,,,
5/29/1960,Air Safaris,Landing (descent or approach),Tarbes Hautes-Pyrénées,0,Human factor,1960,,,,2004,81,,,
5/31/1960,East German Air Force - Luftstreitkräfte der Nationalen Volksarmee,Landing (descent or approach),Dessau Saxony-Anhalt,0,Unknown,1960,,,,2005,81,,,
6/1/1960,Royal Air Force - RAF,Takeoff (climb),Northolt AFB London Metropolis,0,Technical failure,1960,,,,2006,81,,,
6/10/1960,Trans Australia Airlines - TAA,Landing (descent or approach),Mackay Queensland,29,Human factor,1960,,,,2007,81,,,
6/10/1960,Aeroflot - Russian International Airlines,Flight,Tkvarcheli Abkhazia,31,Human factor,1960,,,,2008,81,,,
6/14/1960,Pacific Northern Airlines - PNA,Flight,Mt Gilbert Alaska,14,Human factor,1960,,,,2009,81,,,
6/17/1960,Royal Air Force - RAF,Landing (descent or approach),Mukeiras Al Bayda' (<U+0627><U+0644><U+0628><U+064A><U+0636><U+0627><U+0621>),0,Technical failure,1960,,,,2010,81,,,
6/19/1960,United States Air Force - USAF,Landing (descent or approach),Paramaribo Paramaribo City District,3,Human factor,1960,,,,2011,81,,,
6/20/1960,Air Brousse,Landing (descent or approach),Kinshasa-Ndolo Kinshasa City Province,0,Unknown,1960,,,,2012,81,,,
6/24/1960,Real Aerovias,Landing (descent or approach),Rio de Janeiro-Galeão Rio de Janeiro,54,Weather,1960,,,,2013,81,,,
6/25/1960,Lineas Aéreas Costarricenses - LACSA,Takeoff (climb),San José San José (Central Valley),1,Unknown,1960,,,,2014,81,,,
6/27/1960,United States Air Force - USAF,Flight,Newry Maine,5,Technical failure,1960,,,,2015,81,,,
6/29/1960,Soviet Air Force - Voyenno-vozdushnye sily CCCP,Landing (descent or approach),Taganrog Rostov oblast,0,Unknown,1960,,,,2016,81,,,
7/5/1960,Aeroflot - Russian International Airlines,Flight,Aldan Republic of Yakutia (Sakha),3,Human factor,1960,,,,2017,81,,,
7/7/1960,Royal Air Force - RAF,Landing (descent or approach),Oakington Cambridgeshire,6,Human factor,1960,,,,2018,81,,,
7/10/1960,Gulf Aviation - Oman,Landing (descent or approach),Sharjah Sharjah (<U+0627><U+0644><U+0634><U+0627><U+0631><U+0642><U+0629><U+0651>),20,Unknown,1960,,,,2019,81,,,
